GET    /v1/catalogos | operationId=obterTodosRegistros_10 | params=statusAtivo[query]:boolean
POST   /v1/orgaos/{cnpj}/contratos/{ano}/{sequencial}/termos/{sequencialTermo}/arquivos | operationId=inserirArquivo | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, sequencialTermo[path]*:integer, Titulo-Documento[header]*:string, Tipo-Documento-Id[header]*:integer
GET    /v1/orgaos/{cnpj}/contratos/{ano}/{sequencial}/termos/{sequencialTermo}/arquivos/excluidos/{sequencialDocumento} | operationId=arquivoexcluido | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, sequencialTermo[path]*:integer, sequencialDocumento[path]*:integer
GET    /v1/orgaos/{cnpj}/contratos/{ano}/{sequencial}/termos/{sequencialTermo}/arquivos/quantidade | operationId=recuperarQuantidadeDocumentosTermoContrato | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, sequencialTermo[path]*:integer
DELETE /v1/orgaos/{cnpj}/contratos/{ano}/{sequencial}/termos/{sequencialTermo}/arquivos/{sequencialDocumento} | operationId=removerDocumentoContrato | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, sequencialTermo[path]*:integer, sequencialDocumento[path]*:integer
GET    /v1/orgaos/{cnpj}/contratos/{ano}/{sequencial}/termos/{sequencialTermo}/arquivos/{sequencialDocumento} | operationId=recuperarArquivo | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, sequencialTermo[path]*:integer, sequencialDocumento[path]*:integer
POST   /v1/orgaos/{cnpj}/pca | operationId=incluirPlano | params=cnpj[path]*:string
GET    /v1/orgaos/{cnpj}/pca/{ano}/consolidado | operationId=recuperarDadosOrgaoPca | params=cnpj[path]*:string, ano[path]*:integer
GET    /v1/orgaos/{cnpj}/pca/{ano}/consolidado/unidades | operationId=recuperarDadosOrgaoPcaUnidades | params=cnpj[path]*:string, ano[path]*:integer, pagina[query]:integer, tamanhoPagina[query]:integer
GET    /v1/orgaos/{cnpj}/pca/{ano}/csv | operationId=retornarPlanosTodasUnidadesDoOrgaoCsv | params=cnpj[path]*:string, ano[path]*:integer
GET    /v1/orgaos/{cnpj}/pca/{ano}/quantidade | operationId=recuperarDadosOrgaoPcaQuantidade | params=cnpj[path]*:string, ano[path]*:integer
GET    /v1/orgaos/{cnpj}/pca/{ano}/valorescategoriaitem | operationId=recuperarValoresCategoriaItem_1 | params=cnpj[path]*:string, ano[path]*:integer, categoriaItem[query]:integer
DELETE /v1/orgaos/{cnpj}/pca/{ano}/{sequencial} | operationId=removerPlano | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer
GET    /v1/orgaos/{cnpj}/pca/{ano}/{sequencial}/consolidado | operationId=consultarPlanoConsolidado | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer
DELETE /v1/orgaos/{cnpj}/pca/{ano}/{sequencial}/itens | operationId=removerItensPlano | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer
GET    /v1/orgaos/{cnpj}/pca/{ano}/{sequencial}/itens | operationId=recuperarDadosPcaItensCategoria | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, categoria[query]:integer, pagina[query]:integer, tamanhoPagina[query]:integer
PATCH  /v1/orgaos/{cnpj}/pca/{ano}/{sequencial}/itens | operationId=retificarParcialmentePlanoContratacaoItens | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer
POST   /v1/orgaos/{cnpj}/pca/{ano}/{sequencial}/itens | operationId=incluirPlanoContratacaoItem | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer
DELETE /v1/orgaos/{cnpj}/pca/{ano}/{sequencial}/itens/contratacao | operationId=removerItensPlanoPorContratacao | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, numeroContratacao[query]*:string
GET    /v1/orgaos/{cnpj}/pca/{ano}/{sequencial}/itens/contratacao | operationId=recuperarItensPlanoPorContratacao | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, numeroContratacao[query]*:string, pagina[query]:integer, tamanhoPagina[query]:integer
GET    /v1/orgaos/{cnpj}/pca/{ano}/{sequencial}/itens/plano | operationId=consultarPlanoComItens | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer
GET    /v1/orgaos/{cnpj}/pca/{ano}/{sequencial}/itens/quantidade | operationId=recuperarDadosPcaItensQuantidadeItens | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, categoria[query]:integer
DELETE /v1/orgaos/{cnpj}/pca/{ano}/{sequencial}/itens/{numeroItem} | operationId=removerItemPlano | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, numeroItem[path]*:integer
